[2025-11-05 12:18:16,835] 13 pikepdf._core - INFO - pikepdf C++ to Python logger bridge initialized
[2025-11-05 12:18:55,206] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:18:55,312] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:18:55,312] 359 docling.document_converter - INFO - Initializing pipeline for StandardPdfPipeline with options hash f9730ffaa6e7f8d4fb0c98c8df3f18cb
[2025-11-05 12:18:55,319] 112 docling.models.factories.base_factory - INFO - Loading plugin 'docling_defaults'
[2025-11-05 12:18:55,320] 26 docling.models.factories - INFO - Registered picture descriptions: ['vlm', 'api']
[2025-11-05 12:18:55,326] 112 docling.models.factories.base_factory - INFO - Loading plugin 'docling_defaults'
[2025-11-05 12:18:55,329] 16 docling.models.factories - INFO - Registered ocr engines: ['auto', 'easyocr', 'ocrmac', 'rapidocr', 'tesserocr', 'tesseract']
[2025-11-05 12:18:55,941] 56 docling.models.auto_ocr_model - INFO - Auto OCR model selected ocrmac.
[2025-11-05 12:18:55,947] 82 docling.utils.accelerator_utils - INFO - Accelerator device: 'mps'
[2025-11-05 12:18:57,941] 82 docling.utils.accelerator_utils - INFO - Accelerator device: 'mps'
[2025-11-05 12:18:58,785] 65 docling.pipeline.base_pipeline - INFO - Processing document tenant_scorecard_gallery.png
[2025-11-05 12:19:07,732] 338 docling.document_converter - INFO - Finished converting document tenant_scorecard_gallery.png in 12.53 sec.
[2025-11-05 12:19:07,751] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:19:07,752] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:19:07,752] 65 docling.pipeline.base_pipeline - INFO - Processing document alerts.png
[2025-11-05 12:19:08,672] 338 docling.document_converter - INFO - Finished converting document alerts.png in 0.92 sec.
[2025-11-05 12:19:08,673] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:19:08,674] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:19:08,674] 65 docling.pipeline.base_pipeline - INFO - Processing document dashboard.png
[2025-11-05 12:19:09,067] 338 docling.document_converter - INFO - Finished converting document dashboard.png in 0.39 sec.
[2025-11-05 12:19:09,071] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:19:09,073] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:19:09,073] 65 docling.pipeline.base_pipeline - INFO - Processing document scorecard.png
[2025-11-05 12:19:09,416] 338 docling.document_converter - INFO - Finished converting document scorecard.png in 0.35 sec.
[2025-11-05 12:19:09,418] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:19:09,419] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:19:09,420] 65 docling.pipeline.base_pipeline - INFO - Processing document settings.png
[2025-11-05 12:19:09,785] 338 docling.document_converter - INFO - Finished converting document settings.png in 0.37 sec.
[2025-11-05 12:19:09,787] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:19:09,789] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:19:09,789] 65 docling.pipeline.base_pipeline - INFO - Processing document tips.png
[2025-11-05 12:19:10,154] 338 docling.document_converter - INFO - Finished converting document tips.png in 0.37 sec.
[2025-11-05 12:19:10,157] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:19:10,160] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:19:10,160] 65 docling.pipeline.base_pipeline - INFO - Processing document household_1.jpg
[2025-11-05 12:19:11,099] 338 docling.document_converter - INFO - Finished converting document household_1.jpg in 0.94 sec.
[2025-11-05 12:19:11,101] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:19:11,103] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:19:11,104] 65 docling.pipeline.base_pipeline - INFO - Processing document household_2.jpg
[2025-11-05 12:19:11,789] 338 docling.document_converter - INFO - Finished converting document household_2.jpg in 0.69 sec.
[2025-11-05 12:19:11,791] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:19:11,793] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:19:11,793] 65 docling.pipeline.base_pipeline - INFO - Processing document household_3.jpg
[2025-11-05 12:19:12,477] 338 docling.document_converter - INFO - Finished converting document household_3.jpg in 0.69 sec.
[2025-11-05 12:19:12,478] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:19:12,481] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:19:12,481] 65 docling.pipeline.base_pipeline - INFO - Processing document household_4.jpg
[2025-11-05 12:19:13,168] 338 docling.document_converter - INFO - Finished converting document household_4.jpg in 0.69 sec.
[2025-11-05 12:19:13,170] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:19:13,173] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:19:13,173] 65 docling.pipeline.base_pipeline - INFO - Processing document household_5.jpg
[2025-11-05 12:19:13,884] 338 docling.document_converter - INFO - Finished converting document household_5.jpg in 0.72 sec.
[2025-11-05 12:19:13,886] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:19:13,889] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:19:13,889] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_01.jpg
[2025-11-05 12:19:15,198] 338 docling.document_converter - INFO - Finished converting document photo_01.jpg in 1.31 sec.
[2025-11-05 12:19:15,200] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:19:15,202] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:19:15,203] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_02.jpg
[2025-11-05 12:19:16,373] 338 docling.document_converter - INFO - Finished converting document photo_02.jpg in 1.17 sec.
[2025-11-05 12:19:16,374] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:19:16,378] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:19:16,378] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_03.jpg
[2025-11-05 12:19:17,670] 338 docling.document_converter - INFO - Finished converting document photo_03.jpg in 1.30 sec.
[2025-11-05 12:19:17,672] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:19:17,677] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:19:17,678] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_04.jpg
[2025-11-05 12:19:18,857] 338 docling.document_converter - INFO - Finished converting document photo_04.jpg in 1.19 sec.
[2025-11-05 12:19:18,859] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:19:18,863] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:19:18,863] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_05.jpg
[2025-11-05 12:19:20,159] 338 docling.document_converter - INFO - Finished converting document photo_05.jpg in 1.30 sec.
[2025-11-05 12:19:20,161] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:19:20,166] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:19:20,167] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_06.jpg
[2025-11-05 12:19:21,333] 338 docling.document_converter - INFO - Finished converting document photo_06.jpg in 1.17 sec.
[2025-11-05 12:19:21,335] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:19:21,338] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:19:21,338] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_07.jpg
[2025-11-05 12:19:22,636] 338 docling.document_converter - INFO - Finished converting document photo_07.jpg in 1.30 sec.
[2025-11-05 12:19:22,638] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:19:22,644] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:19:22,644] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_08.jpg
[2025-11-05 12:19:23,820] 338 docling.document_converter - INFO - Finished converting document photo_08.jpg in 1.18 sec.
[2025-11-05 12:19:23,822] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:19:23,826] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:19:23,826] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_09.jpg
[2025-11-05 12:19:25,104] 338 docling.document_converter - INFO - Finished converting document photo_09.jpg in 1.28 sec.
[2025-11-05 12:19:25,105] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:19:25,110] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:19:25,110] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_10.jpg
[2025-11-05 12:19:26,127] 338 docling.document_converter - INFO - Finished converting document photo_10.jpg in 1.02 sec.
[2025-11-05 12:19:26,130] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:19:26,133] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:19:26,133] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_11.jpg
[2025-11-05 12:19:26,960] 338 docling.document_converter - INFO - Finished converting document photo_11.jpg in 0.83 sec.
