[2025-11-05 12:05:48,872] 13 pikepdf._core - INFO - pikepdf C++ to Python logger bridge initialized
[2025-11-05 12:06:07,239] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:06:07,326] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:06:07,327] 359 docling.document_converter - INFO - Initializing pipeline for StandardPdfPipeline with options hash f9730ffaa6e7f8d4fb0c98c8df3f18cb
[2025-11-05 12:06:07,349] 112 docling.models.factories.base_factory - INFO - Loading plugin 'docling_defaults'
[2025-11-05 12:06:07,352] 26 docling.models.factories - INFO - Registered picture descriptions: ['vlm', 'api']
[2025-11-05 12:06:07,361] 112 docling.models.factories.base_factory - INFO - Loading plugin 'docling_defaults'
[2025-11-05 12:06:07,364] 16 docling.models.factories - INFO - Registered ocr engines: ['auto', 'easyocr', 'ocrmac', 'rapidocr', 'tesserocr', 'tesseract']
[2025-11-05 12:06:08,021] 56 docling.models.auto_ocr_model - INFO - Auto OCR model selected ocrmac.
[2025-11-05 12:06:08,027] 82 docling.utils.accelerator_utils - INFO - Accelerator device: 'mps'
[2025-11-05 12:06:10,154] 82 docling.utils.accelerator_utils - INFO - Accelerator device: 'mps'
[2025-11-05 12:06:10,992] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_01.jpg
[2025-11-05 12:06:24,130] 338 docling.document_converter - INFO - Finished converting document photo_01.jpg in 16.89 sec.
[2025-11-05 12:06:24,150] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:06:24,153] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:06:24,153] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_02.jpg
[2025-11-05 12:06:25,475] 338 docling.document_converter - INFO - Finished converting document photo_02.jpg in 1.33 sec.
[2025-11-05 12:06:25,478] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:06:25,482] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:06:25,483] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_03.jpg
[2025-11-05 12:06:26,653] 338 docling.document_converter - INFO - Finished converting document photo_03.jpg in 1.18 sec.
[2025-11-05 12:06:26,655] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:06:26,658] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:06:26,659] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_04.jpg
[2025-11-05 12:06:27,936] 338 docling.document_converter - INFO - Finished converting document photo_04.jpg in 1.28 sec.
[2025-11-05 12:06:27,938] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:06:27,942] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:06:27,943] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_05.jpg
[2025-11-05 12:06:29,099] 338 docling.document_converter - INFO - Finished converting document photo_05.jpg in 1.16 sec.
[2025-11-05 12:06:29,101] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:06:29,105] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:06:29,105] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_06.jpg
[2025-11-05 12:06:30,409] 338 docling.document_converter - INFO - Finished converting document photo_06.jpg in 1.31 sec.
[2025-11-05 12:06:30,411] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:06:30,416] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:06:30,416] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_07.jpg
[2025-11-05 12:06:31,584] 338 docling.document_converter - INFO - Finished converting document photo_07.jpg in 1.17 sec.
[2025-11-05 12:06:31,585] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:06:31,589] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:06:31,589] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_08.jpg
[2025-11-05 12:06:32,869] 338 docling.document_converter - INFO - Finished converting document photo_08.jpg in 1.28 sec.
[2025-11-05 12:06:32,871] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:06:32,876] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:06:32,876] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_09.jpg
[2025-11-05 12:06:34,039] 338 docling.document_converter - INFO - Finished converting document photo_09.jpg in 1.17 sec.
[2025-11-05 12:06:34,040] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:06:34,044] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:06:34,044] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_10.jpg
[2025-11-05 12:06:35,199] 338 docling.document_converter - INFO - Finished converting document photo_10.jpg in 1.16 sec.
[2025-11-05 12:06:35,201] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:06:35,204] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:06:35,204] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_11.jpg
[2025-11-05 12:06:36,486] 338 docling.document_converter - INFO - Finished converting document photo_11.jpg in 1.29 sec.
[2025-11-05 12:06:36,488] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.IMAGE: 'image'>]
[2025-11-05 12:06:36,493] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:06:36,493] 65 docling.pipeline.base_pipeline - INFO - Processing document photo_12.jpg
[2025-11-05 12:06:37,657] 338 docling.document_converter - INFO - Finished converting document photo_12.jpg in 1.17 sec.
[2025-11-05 12:06:37,664] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.DOCX: 'docx'>]
[2025-11-05 12:06:37,675] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:06:37,675] 359 docling.document_converter - INFO - Initializing pipeline for SimplePipeline with options hash 995a146ad601044538e6a923bea22f4e
[2025-11-05 12:06:37,675] 65 docling.pipeline.base_pipeline - INFO - Processing document draft_agenda_retreat2025.docx
[2025-11-05 12:06:37,731] 338 docling.document_converter - INFO - Finished converting document draft_agenda_retreat2025.docx in 0.07 sec.
[2025-11-05 12:06:37,735] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.DOCX: 'docx'>]
[2025-11-05 12:06:37,743] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:06:37,743] 65 docling.pipeline.base_pipeline - INFO - Processing document final_agenda_roles_retreat.docx
[2025-11-05 12:06:37,795] 338 docling.document_converter - INFO - Finished converting document final_agenda_roles_retreat.docx in 0.06 sec.
[2025-11-05 12:06:37,800] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.DOCX: 'docx'>]
[2025-11-05 12:06:37,808] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:06:37,808] 65 docling.pipeline.base_pipeline - INFO - Processing document retreat_feedback_lessons2025.docx
[2025-11-05 12:06:37,849] 338 docling.document_converter - INFO - Finished converting document retreat_feedback_lessons2025.docx in 0.05 sec.
[2025-11-05 12:06:37,851] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.PDF: 'pdf'>]
[2025-11-05 12:06:37,852] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:06:37,852] 65 docling.pipeline.base_pipeline - INFO - Processing document retreat_moodboard_camille.pdf
[2025-11-05 12:06:38,855] 338 docling.document_converter - INFO - Finished converting document retreat_moodboard_camille.pdf in 1.00 sec.
[2025-11-05 12:06:38,859] 361 docling.datamodel.document - INFO - detected formats: [<InputFormat.XLSX: 'xlsx'>]
[2025-11-05 12:06:38,870] 314 docling.document_converter - INFO - Going to convert document batch...
[2025-11-05 12:06:38,870] 65 docling.pipeline.base_pipeline - INFO - Processing document snow_games_scoreboard_2025.xlsx
[2025-11-05 12:06:38,870] 222 docling.backend.msexcel_backend - INFO - Processing sheet 0: Sheet1
[2025-11-05 12:06:38,873] 338 docling.document_converter - INFO - Finished converting document snow_games_scoreboard_2025.xlsx in 0.01 sec.
[2025-11-05 12:06:40,254] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:40,322] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:40,399] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:40,481] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:40,566] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:40,650] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:40,735] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:40,814] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:40,892] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:40,967] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:41,042] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:41,115] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:41,194] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:41,286] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:41,367] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:41,455] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:41,547] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:41,631] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:41,709] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:41,785] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:41,857] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:41,934] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:42,008] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:42,082] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:42,158] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:42,232] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:42,305] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:42,380] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:42,453] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:42,526] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:42,604] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:42,679] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:42,754] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:42,829] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:42,909] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:42,980] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:43,052] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:43,128] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:43,205] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:43,278] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:43,355] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:43,432] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:43,507] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:43,582] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:43,652] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:43,725] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
[2025-11-05 12:06:43,799] 1025 httpx - INFO - HTTP Request: POST http://localhost:11434/api/embed "HTTP/1.1 200 OK"
